name,weat_es_hatespeech_race,rnsb_hatespeech_race,precision_diff,recall_diff,f1_diff,precision_diff_strict,recall_diff_strict,f1_diff_strict
original1,1.6812875671620044,0.4420222412595828,-0.0401225739090636,-0.14126284146565848,-0.09156279524535316,-0.18169642857142854,-0.23574791742122425,-0.20903628273932384
original2,1.6812875671620044,0.4420222412595828,-0.037563814059848655,-0.15019733836137839,-0.09535641394743077,-0.19841269841269848,-0.23687069902209346,-0.2180405936474178
original3,1.6812875671620044,0.4420222412595828,-0.0327796234772979,-0.14998852563744736,-0.09408811521960647,-0.1358984324394351,-0.25617529880478096,-0.20137931034482748
original4,1.6812875671620044,0.4420222412595828,-0.03098758025974724,-0.15440977326246108,-0.09489304759859774,-0.1153072715572716,-0.24994567185802252,-0.18595088520845227
original5,1.6812875671620044,0.4420222412595828,-0.033924022470660176,-0.15682662548300863,-0.09754243451368094,-0.17284405171003114,-0.2692502716407099,-0.22395098010968006
original6,1.6812875671620044,0.4420222412595828,-0.03958161434556007,-0.14633430296865535,-0.0941716784164558,-0.17451469556404453,-0.24994567185802252,-0.2135610717469849
original7,1.6812875671620044,0.4420222412595828,-0.04884855049010384,-0.13625443727038344,-0.09300000687949739,-0.18887229275578787,-0.2709887721839913,-0.23042363771671126
original8,1.6812875671620044,0.4420222412595828,-0.042553855337717494,-0.15574431398817834,-0.10155173691669483,-0.1696124031007752,-0.2670047084389714,-0.2198147628403032
original9,1.6812875671620044,0.4420222412595828,-0.03337370506320381,-0.15887443739443063,-0.09975276504384822,-0.14844093104962675,-0.23687069902209346,-0.1947672210830107
original10,1.6812875671620044,0.4420222412595828,-0.03857024106400664,-0.1459849034602957,-0.09319203032520074,-0.19104398516163223,-0.27609561752988054,-0.23436921938586774
db_hatespeech_race_debias_0.0,1.0582168321660796,0.16850107875959885,-0.034069820048565624,-0.1561908837740109,-0.09715973389023991,-0.15460958005249337,-0.2681274900398407,-0.21480342208978165
db_hatespeech_race_debias_0.1,1.3423347996124033,0.25500130136011095,-0.03460872012084948,-0.14946442637490776,-0.09402905059974864,-0.1821831094642581,-0.24994567185802252,-0.21709321875583765
db_hatespeech_race_debias_0.2,1.40457484654871,0.31316057293521304,-0.028844278264384515,-0.17488479119761335,-0.10645502343124924,-0.13737280296022203,-0.2641434262948208,-0.20541549953314664
db_hatespeech_race_debias_0.3,1.4809697350408864,0.31541479996696026,-0.0349930141699748,-0.1481443578181758,-0.09378571509169664,-0.16287848039613606,-0.2681274900398407,-0.21841488496675754
db_hatespeech_race_debias_0.4,1.6141448589026406,0.38748846984125607,-0.04459830809849674,-0.14310700928493003,-0.09481487496239926,-0.18763505402160863,-0.2863093082216589,-0.23932046214654923
db_hatespeech_race_debias_0.5,1.6096390796710331,0.37107532411145383,-0.048419829928990965,-0.1284942535151864,-0.08959716161501208,-0.1847540222772277,-0.2670047084389714,-0.22713293511689436
db_hatespeech_race_debias_0.6,1.6226968964919162,0.3854864098731309,-0.038997447439803934,-0.14409215050228763,-0.0928926283184589,-0.17798114472801863,-0.2419775443679827,-0.2113441966730235
db_hatespeech_race_debias_0.7,1.647108178164545,0.4088805257885781,-0.032511166993925644,-0.15846198057834915,-0.09873102055761374,-0.15634920634920635,-0.2692502716407099,-0.21678708238374633
db_hatespeech_race_debias_0.8,1.6987057862273132,0.4388728694541525,-0.041485283700098186,-0.14385439344038597,-0.0935105873158969,-0.17642597087378642,-0.2448388265121333,-0.2113509459121592
db_hatespeech_race_debias_0.9,1.7282350621063287,0.4452166889341466,-0.03233006631192137,-0.16316957040400093,-0.10047251538926893,-0.16476595744680844,-0.27547989858746835,-0.22460960432077026
db_hatespeech_race_overbias_0.0,1.815194931867411,0.5461141358187496,-0.04430076628352497,-0.13359982798793435,-0.08935015601682261,-0.1694665487768936,-0.2488228902571532,-0.20936769859813098
db_hatespeech_race_overbias_0.1,1.81951744736046,0.5317555855244862,-0.03565268654647735,-0.15304111956699273,-0.09697687798298871,-0.16450863213811429,-0.26526620789569,-0.2183112211348779
db_hatespeech_race_overbias_0.2,1.8116405778610023,0.5468383703775912,-0.04179001090057466,-0.14413556700924357,-0.0956860049231868,-0.17826417004048578,-0.2624049257515394,-0.22365188910983747
